"YearMonth","StockPack","Count","P.lst.number","Main.Transport.No","Warehouse","Transport.Mode","Carrier","Destination.City","P.lst.Destination.Zip.Code","Destination.Country","Load.Closed.Date","Expected.Time.of.Arrival","POD_ATA","Leadtime..avg.","POD_ATA.Exists","On.Time.Delivery..OTD.","Arrived.at.Harbour.Airport..ATA.","Actual.Delivery.Date..POD."
"NA - NA","Z159862",1,"Z159862","6325325782","12","Sea","Sandvik CSRT","KUMASI","00000","Ghana","2023-03-09","-","2023-03-13","4","Yes","-","2023-03-13","2023-03-13"
"NA - NA","Z159864",2,"Z159864","355710515","37","Land","TNT NetherLands","ÅKERSBERGA","184 32","Sweden","2023-03-08","2023-03-16","2023-03-14","6","Yes","Yes","-","2023-03-14"
"NA - NA","Z159866",1,"Z159866","355714764","37","Land","TNT NetherLands","ST. MARTIN IM MUEHLKREIS","4113","Austria","2023-03-08","2023-03-13","2023-03-13","5","Yes","Yes","-","2023-03-13"
"NA - NA","Z159871",1,"Z159871","6673346620","23","Land","Sandvik CSRT","KÅGE","93494","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159871",1,"Z159871","6673346620","23","Land","Sandvik CSRT","KÅGE","93494","Sweden","2023-03-08","-","2023-03-09","1","Yes","-","2023-03-09","2023-03-09"
"NA - NA","Z159879",1,"Z159879","6673346562","23","Land","Sandvik CSRT","HAFRSFJORD","4044","Norway","2023-03-08","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159879",1,"Z159879","6673346562","23","Land","Sandvik CSRT","HAFRSFJORD","4044","Norway","2023-03-08","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159896",1,"Z159896","6673346554","23","Land","Sandvik CSRT","VESTBY","1543","Norway","2023-03-08","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159896",1,"Z159896","6673346554","23","Land","Sandvik CSRT","VESTBY","1543","Norway","2023-03-08","-","2023-03-10","1","Yes","-","2023-03-10","2023-03-10"
"NA - NA","Z159898",2,"Z159898","6673348352","38","Land","Sandvik CSRT","SOUTH PORCUPINE ON","P0N 1H0","Canada","2023-03-08","-","2023-03-13","5","Yes","-","2023-03-13","2023-03-13"
"NA - NA","Z159898",2,"Z159898","6673348352","38","Land","Sandvik CSRT","SOUTH PORCUPINE ON","P0N 1H0","Canada","2023-03-08","-","2023-03-13","5","Yes","-","2023-03-13","2023-03-13"
"NA - NA","Z159903",1,"Z159903","6673344526","12","Land","Sandvik CSRT","UTELLE","06450","France","2023-03-08","-","2023-03-15","7","Yes","-","2023-03-15","2023-03-15"
"NA - NA","Z159903",1,"Z159903","6673344526","12","Land","Sandvik CSRT","UTELLE","06450","France","2023-03-08","-","2023-03-15","7","Yes","-","2023-03-15","2023-03-15"
